,qid,block,questionText,questionName,carryForward,choices,recode,description,text,subQuestion,questionType,questionSelector,questionSubSelector,validationForce,validationRequest,validationType,validationSettings,Easy.variable.name,Easy.variable.nameTEMP
9,QID1643,COPING_NBR_PIS_CONSENT,"Name of Principal Investigator: Prof Gerome Breen  By providing consent to the items below, you confirm that you have read and understood the information sheet and have had the opportunity to ask questions about the COvid-19 PsychIatry and Neurological Genetics (COPING) study, run by the NIHR BioResource Centre Maudsley. You are able to withdraw from the study at any time.Please note that if you consent to re-contact (item 5) or the newsletter (item 6), then you must also consent to item 7.",Consent,nan,1,1,Read and understood info sheet,"1. I confirm that I have read and understood the information sheet v1.1, dated 24/04/2020 and I have had the opportunity to consider the information and to ask questions.",no,Multiple choice,Multiple answer,TX,True,nan,nan,nan,Name of Principal Investigator Prof Gerome Breen  By providing consent to the items below you confirm that you have read and understood the information sheet and have had the opportunity to ask questions about the COvid19 PsychIatry and Neurological Genetics  study run by the NIHR BioResource Centre Maudsley You are able to withdraw from the study at any timePlease note that if you consent to recontact  or the newsletter  then you must also consent to item 7,CONSENT.principal_investigator_prof_gerome_breen_nihr_bioresource_centre_maudsley
10,QID1643,COPING_NBR_PIS_CONSENT,"Name of Principal Investigator: Prof Gerome Breen  By providing consent to the items below, you confirm that you have read and understood the information sheet and have had the opportunity to ask questions about the COvid-19 PsychIatry and Neurological Genetics (COPING) study, run by the NIHR BioResource Centre Maudsley. You are able to withdraw from the study at any time.Please note that if you consent to re-contact (item 5) or the newsletter (item 6), then you must also consent to item 7.",Consent,nan,2,2,Understand participation,"2. I understand that my participation in this project is voluntary and that I am free to withdraw at any time, without giving any reason, and without my medical care or legal rights being affected.",no,Multiple choice,Multiple answer,TX,True,nan,nan,nan,Name of Principal Investigator Prof Gerome Breen  By providing consent to the items below you confirm that you have read and understood the information sheet and have had the opportunity to ask questions about the COvid19 PsychIatry and Neurological Genetics  study run by the NIHR BioResource Centre Maudsley You are able to withdraw from the study at any timePlease note that if you consent to recontact  or the newsletter  then you must also consent to item 7,CONSENT.principal_investigator_prof_gerome_breen_nihr_bioresource_centre_maudsley
11,QID1643,COPING_NBR_PIS_CONSENT,"Name of Principal Investigator: Prof Gerome Breen  By providing consent to the items below, you confirm that you have read and understood the information sheet and have had the opportunity to ask questions about the COvid-19 PsychIatry and Neurological Genetics (COPING) study, run by the NIHR BioResource Centre Maudsley. You are able to withdraw from the study at any time.Please note that if you consent to re-contact (item 5) or the newsletter (item 6), then you must also consent to item 7.",Consent,nan,3,3,Consent to take part,"3. I agree to take part in the COvid-19 PsychIatry and Neurological Genetics (COPING) study, run by the NIHR BioResource Centre Maudsley at King’s College London.",no,Multiple choice,Multiple answer,TX,True,nan,nan,nan,Name of Principal Investigator Prof Gerome Breen  By providing consent to the items below you confirm that you have read and understood the information sheet and have had the opportunity to ask questions about the COvid19 PsychIatry and Neurological Genetics  study run by the NIHR BioResource Centre Maudsley You are able to withdraw from the study at any timePlease note that if you consent to recontact  or the newsletter  then you must also consent to item 7,CONSENT.principal_investigator_prof_gerome_breen_nihr_bioresource_centre_maudsley
12,QID1643,COPING_NBR_PIS_CONSENT,"Name of Principal Investigator: Prof Gerome Breen  By providing consent to the items below, you confirm that you have read and understood the information sheet and have had the opportunity to ask questions about the COvid-19 PsychIatry and Neurological Genetics (COPING) study, run by the NIHR BioResource Centre Maudsley. You are able to withdraw from the study at any time.Please note that if you consent to re-contact (item 5) or the newsletter (item 6), then you must also consent to item 7.",Consent,nan,4,4,Consent to provide questionnaire data,"4. I agree to provide questionnaire data, including information about my health, lifestyle, emotional wellbeing, and experiences of mental health symptoms.",no,Multiple choice,Multiple answer,TX,True,nan,nan,nan,Name of Principal Investigator Prof Gerome Breen  By providing consent to the items below you confirm that you have read and understood the information sheet and have had the opportunity to ask questions about the COvid19 PsychIatry and Neurological Genetics  study run by the NIHR BioResource Centre Maudsley You are able to withdraw from the study at any timePlease note that if you consent to recontact  or the newsletter  then you must also consent to item 7,CONSENT.principal_investigator_prof_gerome_breen_nihr_bioresource_centre_maudsley
13,QID1643,COPING_NBR_PIS_CONSENT,"Name of Principal Investigator: Prof Gerome Breen  By providing consent to the items below, you confirm that you have read and understood the information sheet and have had the opportunity to ask questions about the COvid-19 PsychIatry and Neurological Genetics (COPING) study, run by the NIHR BioResource Centre Maudsley. You are able to withdraw from the study at any time.Please note that if you consent to re-contact (item 5) or the newsletter (item 6), then you must also consent to item 7.",Consent,nan,5,5,Consent to recontact,5. Optional: I agree to be re-contacted by the COPING team to complete shorter follow up questionnaires on a 2-weekly and later monthly basis and after a major change of event or policy regarding the coronavirus situation.,no,Multiple choice,Multiple answer,TX,True,nan,nan,nan,Name of Principal Investigator Prof Gerome Breen  By providing consent to the items below you confirm that you have read and understood the information sheet and have had the opportunity to ask questions about the COvid19 PsychIatry and Neurological Genetics  study run by the NIHR BioResource Centre Maudsley You are able to withdraw from the study at any timePlease note that if you consent to recontact  or the newsletter  then you must also consent to item 7,CONSENT.principal_investigator_prof_gerome_breen_nihr_bioresource_centre_maudsley
14,QID1643,COPING_NBR_PIS_CONSENT,"Name of Principal Investigator: Prof Gerome Breen  By providing consent to the items below, you confirm that you have read and understood the information sheet and have had the opportunity to ask questions about the COvid-19 PsychIatry and Neurological Genetics (COPING) study, run by the NIHR BioResource Centre Maudsley. You are able to withdraw from the study at any time.Please note that if you consent to re-contact (item 5) or the newsletter (item 6), then you must also consent to item 7.",Consent,nan,9,6,Consent to newsletter,6. Optional: I give permission for the COPING team to send me newsletters/updates about this study. I understand that I can change my mind later and opt in or out of receiving these by contacting the study team.,no,Multiple choice,Multiple answer,TX,True,nan,nan,nan,Name of Principal Investigator Prof Gerome Breen  By providing consent to the items below you confirm that you have read and understood the information sheet and have had the opportunity to ask questions about the COvid19 PsychIatry and Neurological Genetics  study run by the NIHR BioResource Centre Maudsley You are able to withdraw from the study at any timePlease note that if you consent to recontact  or the newsletter  then you must also consent to item 7,CONSENT.principal_investigator_prof_gerome_breen_nihr_bioresource_centre_maudsley
15,QID1643,COPING_NBR_PIS_CONSENT,"Name of Principal Investigator: Prof Gerome Breen  By providing consent to the items below, you confirm that you have read and understood the information sheet and have had the opportunity to ask questions about the COvid-19 PsychIatry and Neurological Genetics (COPING) study, run by the NIHR BioResource Centre Maudsley. You are able to withdraw from the study at any time.Please note that if you consent to re-contact (item 5) or the newsletter (item 6), then you must also consent to item 7.",Consent,nan,6,7,Consent to personal data storage,"7. Optional: I agree for my personal (e.g. name, surname, date of birth) and contact details (e.g. email address, phone numbers) to be stored on a secure database by the COPING study for the purposes of contacting me for completion of follow-up questionnaires and, if I opt-in, for communications by the study team (e.g. newsletters).",no,Multiple choice,Multiple answer,TX,True,nan,nan,nan,Name of Principal Investigator Prof Gerome Breen  By providing consent to the items below you confirm that you have read and understood the information sheet and have had the opportunity to ask questions about the COvid19 PsychIatry and Neurological Genetics  study run by the NIHR BioResource Centre Maudsley You are able to withdraw from the study at any timePlease note that if you consent to recontact  or the newsletter  then you must also consent to item 7,CONSENT.principal_investigator_prof_gerome_breen_nihr_bioresource_centre_maudsley
16,QID1643,COPING_NBR_PIS_CONSENT,"Name of Principal Investigator: Prof Gerome Breen  By providing consent to the items below, you confirm that you have read and understood the information sheet and have had the opportunity to ask questions about the COvid-19 PsychIatry and Neurological Genetics (COPING) study, run by the NIHR BioResource Centre Maudsley. You are able to withdraw from the study at any time.Please note that if you consent to re-contact (item 5) or the newsletter (item 6), then you must also consent to item 7.",Consent,nan,8,8,Consent to data linkage,"8. As a member of the NIHR BioResource, I agree for the data I provide in this study to be securely linked to my demographic and genetic data previously collected by the NIHR BioResource.",no,Multiple choice,Multiple answer,TX,True,nan,nan,nan,Name of Principal Investigator Prof Gerome Breen  By providing consent to the items below you confirm that you have read and understood the information sheet and have had the opportunity to ask questions about the COvid19 PsychIatry and Neurological Genetics  study run by the NIHR BioResource Centre Maudsley You are able to withdraw from the study at any timePlease note that if you consent to recontact  or the newsletter  then you must also consent to item 7,CONSENT.principal_investigator_prof_gerome_breen_nihr_bioresource_centre_maudsley
17,QID1643,COPING_NBR_PIS_CONSENT,"Name of Principal Investigator: Prof Gerome Breen  By providing consent to the items below, you confirm that you have read and understood the information sheet and have had the opportunity to ask questions about the COvid-19 PsychIatry and Neurological Genetics (COPING) study, run by the NIHR BioResource Centre Maudsley. You are able to withdraw from the study at any time.Please note that if you consent to re-contact (item 5) or the newsletter (item 6), then you must also consent to item 7.",Consent,nan,10,9,Consent to anonymous data in future research,"9. As a member of the NIHR BioResource, I understand that this data may be used in future research in a secure and anonymised fashion without my further permission, and this research may include work conducted by commercial companies. I understand that I will not benefit financially if this research leads to new medical tests, treatments or interventions.",no,Multiple choice,Multiple answer,TX,True,nan,nan,nan,Name of Principal Investigator Prof Gerome Breen  By providing consent to the items below you confirm that you have read and understood the information sheet and have had the opportunity to ask questions about the COvid19 PsychIatry and Neurological Genetics  study run by the NIHR BioResource Centre Maudsley You are able to withdraw from the study at any timePlease note that if you consent to recontact  or the newsletter  then you must also consent to item 7,CONSENT.principal_investigator_prof_gerome_breen_nihr_bioresource_centre_maudsley
18,QID1643,COPING_NBR_PIS_CONSENT,"Name of Principal Investigator: Prof Gerome Breen  By providing consent to the items below, you confirm that you have read and understood the information sheet and have had the opportunity to ask questions about the COvid-19 PsychIatry and Neurological Genetics (COPING) study, run by the NIHR BioResource Centre Maudsley. You are able to withdraw from the study at any time.Please note that if you consent to re-contact (item 5) or the newsletter (item 6), then you must also consent to item 7.",Consent,nan,1,1,Read and understood info sheet,"1. I confirm that I have read and understood the information sheet v1.1, dated 24/04/2020 and I have had the opportunity to consider the information and to ask questions.",no,Multiple choice,Multiple answer,TX,True,nan,nan,nan,Name of Principal Investigator Prof Gerome Breen  By providing consent to the items below you confirm that you have read and understood the information sheet and have had the opportunity to ask questions about the COvid19 PsychIatry and Neurological Genetics  study run by the NIHR BioResource Centre Maudsley You are able to withdraw from the study at any timePlease note that if you consent to recontact  or the newsletter  then you must also consent to item 7,CONSENT.principal_investigator_prof_gerome_breen_nihr_bioresource_centre_maudsley
