qid_coping,easyVariableName,surveyBlock,itemLabel,recodeLevel,valueLabel
QID124933430,MHQ.mental_health_problems_diagnosed.1,COVID_Health_MHQ,"Have you ever been diagnosed with one or more of the following mental health problems by a professional, even if you don't have it currently? By professional we mean: any doctor, nurse or person with specialist training (such as a psychologist, psychiatrist etc.). Please include disorders even if you did not need treatment for them or if you did not agree with the diagnosis. (Please select all that apply. Note that additional options will appear on the next page)",1,Depression
QID124933430,MHQ.mental_health_problems_diagnosed.1,COVID_Health_MHQ,"Have you ever been diagnosed with one or more of the following mental health problems by a professional, even if you don't have it currently? By professional we mean: any doctor, nurse or person with specialist training (such as a psychologist, psychiatrist etc.). Please include disorders even if you did not need treatment for them or if you did not agree with the diagnosis. (Please select all that apply. Note that additional options will appear on the next page)",2,Depression during or after pregnancy (antenatal/postnatal depression)
QID124933430,MHQ.mental_health_problems_diagnosed.1,COVID_Health_MHQ,"Have you ever been diagnosed with one or more of the following mental health problems by a professional, even if you don't have it currently? By professional we mean: any doctor, nurse or person with specialist training (such as a psychologist, psychiatrist etc.). Please include disorders even if you did not need treatment for them or if you did not agree with the diagnosis. (Please select all that apply. Note that additional options will appear on the next page)",3,Premenstrual dysphoric disorder (PMDD)
QID124933430,MHQ.mental_health_problems_diagnosed.1,COVID_Health_MHQ,"Have you ever been diagnosed with one or more of the following mental health problems by a professional, even if you don't have it currently? By professional we mean: any doctor, nurse or person with specialist training (such as a psychologist, psychiatrist etc.). Please include disorders even if you did not need treatment for them or if you did not agree with the diagnosis. (Please select all that apply. Note that additional options will appear on the next page)",4,"Mania, hypomania, bipolar or manic-depression"
QID124933430,MHQ.mental_health_problems_diagnosed.1,COVID_Health_MHQ,"Have you ever been diagnosed with one or more of the following mental health problems by a professional, even if you don't have it currently? By professional we mean: any doctor, nurse or person with specialist training (such as a psychologist, psychiatrist etc.). Please include disorders even if you did not need treatment for them or if you did not agree with the diagnosis. (Please select all that apply. Note that additional options will appear on the next page)",5,"Anxiety, nerves or generalised anxiety disorder"
QID124933430,MHQ.mental_health_problems_diagnosed.1,COVID_Health_MHQ,"Have you ever been diagnosed with one or more of the following mental health problems by a professional, even if you don't have it currently? By professional we mean: any doctor, nurse or person with specialist training (such as a psychologist, psychiatrist etc.). Please include disorders even if you did not need treatment for them or if you did not agree with the diagnosis. (Please select all that apply. Note that additional options will appear on the next page)",6,Social anxiety or social phobia
QID124933430,MHQ.mental_health_problems_diagnosed.1,COVID_Health_MHQ,"Have you ever been diagnosed with one or more of the following mental health problems by a professional, even if you don't have it currently? By professional we mean: any doctor, nurse or person with specialist training (such as a psychologist, psychiatrist etc.). Please include disorders even if you did not need treatment for them or if you did not agree with the diagnosis. (Please select all that apply. Note that additional options will appear on the next page)",7,Specific phobia (e.g. phobia of flying)
QID124933430,MHQ.mental_health_problems_diagnosed.1,COVID_Health_MHQ,"Have you ever been diagnosed with one or more of the following mental health problems by a professional, even if you don't have it currently? By professional we mean: any doctor, nurse or person with specialist training (such as a psychologist, psychiatrist etc.). Please include disorders even if you did not need treatment for them or if you did not agree with the diagnosis. (Please select all that apply. Note that additional options will appear on the next page)",8,Agoraphobia
QID124933430,MHQ.mental_health_problems_diagnosed.1,COVID_Health_MHQ,"Have you ever been diagnosed with one or more of the following mental health problems by a professional, even if you don't have it currently? By professional we mean: any doctor, nurse or person with specialist training (such as a psychologist, psychiatrist etc.). Please include disorders even if you did not need treatment for them or if you did not agree with the diagnosis. (Please select all that apply. Note that additional options will appear on the next page)",9,Panic disorder
QID124933430,MHQ.mental_health_problems_diagnosed.1,COVID_Health_MHQ,"Have you ever been diagnosed with one or more of the following mental health problems by a professional, even if you don't have it currently? By professional we mean: any doctor, nurse or person with specialist training (such as a psychologist, psychiatrist etc.). Please include disorders even if you did not need treatment for them or if you did not agree with the diagnosis. (Please select all that apply. Note that additional options will appear on the next page)",10,Panic attacks
QID124933430,MHQ.mental_health_problems_diagnosed.1,COVID_Health_MHQ,"Have you ever been diagnosed with one or more of the following mental health problems by a professional, even if you don't have it currently? By professional we mean: any doctor, nurse or person with specialist training (such as a psychologist, psychiatrist etc.). Please include disorders even if you did not need treatment for them or if you did not agree with the diagnosis. (Please select all that apply. Note that additional options will appear on the next page)",11,Post-traumatic stress disorder (PTSD)
QID124933430,MHQ.mental_health_problems_diagnosed.1,COVID_Health_MHQ,"Have you ever been diagnosed with one or more of the following mental health problems by a professional, even if you don't have it currently? By professional we mean: any doctor, nurse or person with specialist training (such as a psychologist, psychiatrist etc.). Please include disorders even if you did not need treatment for them or if you did not agree with the diagnosis. (Please select all that apply. Note that additional options will appear on the next page)",12,Obsessive-compulsive disorder (OCD)
QID124933430,MHQ.mental_health_problems_diagnosed.1,COVID_Health_MHQ,"Have you ever been diagnosed with one or more of the following mental health problems by a professional, even if you don't have it currently? By professional we mean: any doctor, nurse or person with specialist training (such as a psychologist, psychiatrist etc.). Please include disorders even if you did not need treatment for them or if you did not agree with the diagnosis. (Please select all that apply. Note that additional options will appear on the next page)",13,Body dysmorphic disorder (BDD)
QID124933430,MHQ.mental_health_problems_diagnosed.1,COVID_Health_MHQ,"Have you ever been diagnosed with one or more of the following mental health problems by a professional, even if you don't have it currently? By professional we mean: any doctor, nurse or person with specialist training (such as a psychologist, psychiatrist etc.). Please include disorders even if you did not need treatment for them or if you did not agree with the diagnosis. (Please select all that apply. Note that additional options will appear on the next page)",14,Other obsessive-compulsive related disorder e.g. skin picking
QID124933430,MHQ.mental_health_problems_diagnosed.1,COVID_Health_MHQ,"Have you ever been diagnosed with one or more of the following mental health problems by a professional, even if you don't have it currently? By professional we mean: any doctor, nurse or person with specialist training (such as a psychologist, psychiatrist etc.). Please include disorders even if you did not need treatment for them or if you did not agree with the diagnosis. (Please select all that apply. Note that additional options will appear on the next page)",0,None of these
